Time,Datastream Name,Value
2022-03-22 04:24:00,Relative Humidity,36.0
2022-03-22 04:24:00,Fine Particles 2_5,15.0
2022-03-22 04:24:00,Fine Particles 10,26.0
2022-03-22 04:24:00,ABC Status,1.0
2022-03-22 04:22:00,CO2,473.0
2022-03-22 04:22:00,PRESSURE,1038.0
2022-03-22 04:22:00,Temperature,18.0
2022-03-22 04:22:00,Relative Humidity,36.0
2022-03-22 04:22:00,Fine Particles 2_5,15.0
2022-03-22 04:22:00,Fine Particles 10,26.0
2022-03-22 04:22:00,ABC Status,1.0
2022-03-22 04:20:00,CO2,474.0
2022-03-22 04:20:00,PRESSURE,1038.0
2022-03-22 04:20:00,Temperature,18.0
2022-03-22 04:20:00,Relative Humidity,36.0
2022-03-22 04:20:00,Fine Particles 2_5,15.0
2022-03-22 04:20:00,Fine Particles 10,26.0
2022-03-22 04:20:00,ABC Status,1.0
2022-03-22 04:18:00,CO2,477.0
2022-03-22 04:18:00,PRESSURE,1038.0
2022-03-22 04:18:00,Temperature,18.0
2022-03-22 04:18:00,Relative Humidity,36.0
2022-03-22 04:18:00,Fine Particles 2_5,14.0
2022-03-22 04:18:00,Fine Particles 10,24.0
2022-03-22 04:18:00,ABC Status,1.0
2022-03-22 04:16:00,CO2,477.0
2022-03-22 04:16:00,PRESSURE,1038.0
2022-03-22 04:16:00,Temperature,18.0
2022-03-22 04:16:00,Relative Humidity,36.0
2022-03-22 04:16:00,Fine Particles 2_5,15.0
2022-03-22 04:16:00,Fine Particles 10,26.0
2022-03-22 04:16:00,ABC Status,1.0
2022-03-22 04:14:00,CO2,477.0
2022-03-22 04:14:00,PRESSURE,1038.0
2022-03-22 04:14:00,Temperature,18.0
2022-03-22 04:14:00,Relative Humidity,36.0
2022-03-22 04:14:00,Fine Particles 2_5,15.0
2022-03-22 04:14:00,Fine Particles 10,26.0
2022-03-22 04:14:00,ABC Status,1.0
2022-03-22 04:12:00,CO2,479.0
2022-03-22 04:12:00,PRESSURE,1037.0
2022-03-22 04:12:00,Temperature,18.0
2022-03-22 04:12:00,Relative Humidity,36.0
2022-03-22 04:12:00,Fine Particles 2_5,14.0
2022-03-22 04:12:00,Fine Particles 10,24.0
2022-03-22 04:12:00,ABC Status,1.0
2022-03-22 04:10:00,CO2,481.0
2022-03-22 04:10:00,PRESSURE,1037.0
2022-03-22 04:10:00,Temperature,18.0
2022-03-22 04:10:00,Relative Humidity,36.0
2022-03-22 04:10:00,Fine Particles 2_5,14.0
2022-03-22 04:10:00,Fine Particles 10,24.0
2022-03-22 04:10:00,ABC Status,1.0
2022-03-22 04:08:00,CO2,484.0
2022-03-22 04:08:00,PRESSURE,1037.0
2022-03-22 04:08:00,Temperature,18.0
2022-03-22 04:08:00,Relative Humidity,36.0
2022-03-22 04:08:00,Fine Particles 2_5,15.0
2022-03-22 04:08:00,Fine Particles 10,26.0
2022-03-22 04:08:00,ABC Status,1.0
2022-03-22 04:06:00,CO2,481.0
2022-03-22 04:06:00,PRESSURE,1037.0
2022-03-22 04:06:00,Temperature,18.0
2022-03-22 04:06:00,Relative Humidity,36.0
2022-03-22 04:06:00,Fine Particles 2_5,15.0
2022-03-22 04:06:00,Fine Particles 10,26.0
2022-03-22 04:06:00,ABC Status,1.0
2022-03-22 04:04:00,CO2,479.0
2022-03-22 04:04:00,PRESSURE,1038.0
2022-03-22 04:04:00,Temperature,18.0
2022-03-22 04:04:00,Relative Humidity,36.0
2022-03-22 04:04:00,Fine Particles 2_5,15.0
2022-03-22 04:04:00,Fine Particles 10,26.0
2022-03-22 04:04:00,ABC Status,1.0
2022-03-22 04:02:00,CO2,477.0
2022-03-22 04:02:00,PRESSURE,1037.0
2022-03-22 04:02:00,Temperature,18.0
2022-03-22 04:02:00,Relative Humidity,36.0
2022-03-22 04:02:00,Fine Particles 2_5,14.0
2022-03-22 04:02:00,Fine Particles 10,24.0
2022-03-22 04:02:00,ABC Status,1.0
2022-03-22 04:00:00,CO2,474.0
2022-03-22 04:00:00,PRESSURE,1037.0
2022-03-22 04:00:00,Temperature,18.0
2022-03-22 04:00:00,Relative Humidity,36.0
2022-03-22 04:00:00,Fine Particles 2_5,15.0
2022-03-22 04:00:00,Fine Particles 10,26.0
2022-03-22 04:00:00,ABC Status,1.0
2022-03-22 03:58:00,CO2,480.0
2022-03-22 03:58:00,PRESSURE,1037.0
2022-03-22 03:58:00,Temperature,18.0
2022-03-22 03:58:00,Relative Humidity,36.0
2022-03-22 03:58:00,Fine Particles 2_5,15.0
2022-03-22 03:58:00,Fine Particles 10,26.0
2022-03-22 03:58:00,ABC Status,1.0
2022-03-22 03:56:00,CO2,482.0
2022-03-22 03:56:00,PRESSURE,1037.0
2022-03-22 03:56:00,Temperature,18.0
2022-03-22 03:56:00,Relative Humidity,36.0
2022-03-22 03:56:00,Fine Particles 2_5,15.0
2022-03-22 03:56:00,Fine Particles 10,26.0
2022-03-22 03:56:00,ABC Status,1.0
2022-03-22 03:54:00,CO2,483.0
2022-03-22 03:54:00,PRESSURE,1037.0
2022-03-22 03:54:00,Temperature,18.0
2022-03-22 03:54:00,Relative Humidity,36.0
2022-03-22 03:54:00,Fine Particles 2_5,15.0
2022-03-22 03:54:00,Fine Particles 10,26.0
2022-03-22 03:54:00,ABC Status,1.0
2022-03-22 03:52:00,CO2,481.0
2022-03-22 03:52:00,PRESSURE,1037.0
2022-03-22 03:52:00,Temperature,18.0
2022-03-22 03:52:00,Relative Humidity,36.0
2022-03-22 03:52:00,Fine Particles 2_5,15.0
2022-03-22 03:52:00,Fine Particles 10,26.0
2022-03-22 03:52:00,ABC Status,1.0
2022-03-22 03:50:00,CO2,477.0
2022-03-22 03:50:00,PRESSURE,1037.0
2022-03-22 03:50:00,Temperature,18.0
2022-03-22 03:50:00,Relative Humidity,36.0
2022-03-22 03:50:00,Fine Particles 2_5,14.0
2022-03-22 03:50:00,Fine Particles 10,24.0
2022-03-22 03:50:00,ABC Status,1.0
2022-03-22 03:48:00,CO2,477.0
2022-03-22 03:48:00,PRESSURE,1037.0
2022-03-22 03:48:00,Temperature,18.0
2022-03-22 03:48:00,Relative Humidity,36.0
2022-03-22 03:48:00,Fine Particles 2_5,14.0
2022-03-22 03:48:00,Fine Particles 10,24.0
2022-03-22 03:48:00,ABC Status,1.0
2022-03-22 03:46:00,CO2,474.0
2022-03-22 03:46:00,PRESSURE,1037.0
2022-03-22 03:46:00,Temperature,18.0
2022-03-22 03:46:00,Relative Humidity,36.0
2022-03-22 03:46:00,Fine Particles 2_5,15.0
2022-03-22 03:46:00,Fine Particles 10,26.0
2022-03-22 03:46:00,ABC Status,1.0
2022-03-22 03:44:00,CO2,476.0
2022-03-22 03:44:00,PRESSURE,1037.0
2022-03-22 03:44:00,Temperature,18.0
2022-03-22 03:44:00,Relative Humidity,36.0
2022-03-22 03:44:00,Fine Particles 2_5,14.0
2022-03-22 03:44:00,Fine Particles 10,24.0
2022-03-22 03:44:00,ABC Status,1.0
2022-03-22 03:42:00,CO2,481.0
2022-03-22 03:42:00,PRESSURE,1037.0
2022-03-22 03:42:00,Temperature,18.0
2022-03-22 03:42:00,Relative Humidity,36.0
2022-03-22 03:42:00,Fine Particles 2_5,15.0
2022-03-22 03:42:00,Fine Particles 10,26.0
2022-03-22 03:42:00,ABC Status,1.0
2022-03-22 03:40:00,CO2,473.0
2022-03-22 03:40:00,PRESSURE,1037.0
2022-03-22 03:40:00,Temperature,18.0
